"","title","code","audience_male","audience_female"
"1357","아비정전","10546","22%","78%"
"1358","우리, 사랑일까요?","40208",NA,NA
"1359","기생충","161967","49%","51%"
"1360","블루 재스민","104331","100%",NA
"1361","아워 이디엇 브라더","81028","100%",NA
"1362","데몰리션","133424","40%","60%"
"1363","디 아더스","33062","100%",NA
"1364","미 비포 유","137915","38%","62%"
"1365","디스커넥트","97747",NA,NA
"1366","이탈리안 잡","37049",NA,NA
"1367","호빗: 다섯 군대 전투","97816","59%","41%"
"1368","그녀에게","35388","39%","61%"
"1369","스탈린그라드: 최후의 전투","18730",NA,NA
"1370","아무르","92505","43%","57%"
"1371","다크 시티","19529",NA,NA
"1372","언페이스풀","34969",NA,NA
"1373","위아 유어 프렌즈","130943","39%","61%"
"1374","일루셔니스트","76014","22%","78%"
"1375","데어 윌 비 블러드","66034","50%","50%"
"1376","회복","72406",NA,NA
"1377","어톤먼트","68035",NA,NA
"1378","고백","76103",NA,NA
"1379","식객","62167",NA,NA
"1380","카3: 새로운 도전","152396","31%","69%"
"1381","링","28465",NA,NA
"1382","아이, 토냐","154293","48%","52%"
"1383","분노의 질주: 더 오리지널","47587",NA,NA
"1384","레고 배트맨 무비","132627","32%","68%"
"1385","내가 살인범이다","78790",NA,NA
"1386","호빗 : 스마우그의 폐허","74566","44%","56%"
"1387","더 킹: 헨리 5세","187526","39%","61%"
"1388","킥 애스: 영웅의 탄생","70992",NA,NA
"1389","보리밭을 흔드는 바람","49380","60%","40%"
"1390","나쁜 교육","39368",NA,NA
"1391","싱글 맨","51690","29%","71%"
"1392","로그 원: 스타워즈 스토리","136868","68%","32%"
"1393","스틸 앨리스","120759","26%","74%"
"1394","당신이 사랑하는 동안에","38318","30%","70%"
"1395","넘버 3","18353",NA,NA
"1396","컬러풀","76580",NA,NA
"1397","아더와 미니모이: 제1탄 비밀 원정대의 출정","62799",NA,NA
"1398","로봇, 소리","136821","42%","58%"
"1399","남극의 쉐프","72524","50%","50%"
"1400","악마는 사라지지 않는다","191560",NA,NA
"1401","울프 콜","189028","69%","31%"
"1402","와일드","118395","38%","62%"
"1403","메종 드 히미코","44022",NA,NA
"1404","목소리의 형태","153964","66%","34%"
"1405","꽃보다 남자","46874",NA,NA
"1406","엔드 오브 왓치","85351",NA,NA
"1407","고녀석 맛나겠다2 : 함께라서 행복해","126386","23%","77%"
"1408","거꾸로 된 파테마","110125","65%","35%"
"1409","극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여~","121047","24%","76%"
"1410","헤이트풀8","124238","40%","60%"
"1411","폰 부스","36337",NA,NA
"1412","옥자","143435","38%","62%"
"1413","더 와이프","167054","26%","74%"
"1414","셰익스피어 인 러브","22012",NA,NA
"1415","미스 페레그린과 이상한 아이들의 집","129383","43%","57%"
"1416","국경의 남쪽","50278",NA,NA
"1417","위대한 유산","19076",NA,NA
"1418","지옥의 묵시록","10501","83%","17%"
"1419","슈퍼 사이즈 미","38789",NA,NA
"1420","리틀 프린세스 소피아: 신비한 섬","165514","27%","73%"
"1421","세인트 빈센트","118367","53%","47%"
